GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customer-profile-api,com.example.customerprofile.model,Customer,0,49,0,0,0,21,0,11,0,11
customer-profile-api,com.example.customerprofile.config,CacheConfig,0,17,0,0,0,3,0,4,0,4
customer-profile-api,com.example.customerprofile.config,DataSeeder,1,37,1,1,1,7,1,3,0,3
customer-profile-api,com.example.customerprofile.service,CustomerService,0,127,1,11,0,28,1,14,0,9
customer-profile-api,com.example.customerprofile.exception,CustomerNotFoundException,0,5,0,0,0,2,0,1,0,1
customer-profile-api,com.example.customerprofile.exception,EmailAlreadyInUseException,0,5,0,0,0,2,0,1,0,1
customer-profile-api,com.example.customerprofile.exception,InvalidPhotoException,0,4,0,0,0,2,0,1,0,1
customer-profile-api,com.example.customerprofile.exception,GlobalExceptionHandler,8,46,0,0,2,10,2,6,2,6
customer-profile-api,com.example.customerprofile.controller,CustomerController,0,40,0,0,0,11,0,5,0,5
customer-profile-api,com.example.customerprofile,CustomerProfileApiApplication,5,3,0,0,2,1,1,1,1,1
customer-profile-api,com.example.customerprofile.dto,UpdateCustomerRequest,0,9,0,0,0,1,0,1,0,1
customer-profile-api,com.example.customerprofile.dto,PhotoData,0,9,0,0,0,1,0,1,0,1
customer-profile-api,com.example.customerprofile.dto,CustomerProfileResponse,0,28,0,0,0,6,0,2,0,2
